"NO","70175","СУВОРОВО","СУВОРОВО","9170","ВАРНА","гр."
"NO","70247","СУНГУРЛАРЕ","СУНГУРЛАРЕ","8470","БУРГАС","гр."
"NO","70295","СУХИНДОЛ","СУХИНДОЛ","5240","ВЕЛИКО ТЪРНОВО","гр."
"NO","70528","СЪЕДИНЕНИЕ","СЪЕДИНЕНИЕ","4190","ПЛОВДИВ","гр."
"NO","70648","ВЕЛИНГРАД","СЪРНИЦА","4633","ПАЗАРДЖИК","гр."
"NO","72165","ТВЪРДИЦА","ТВЪРДИЦА","8890","СЛИВЕН","гр."
"NO","72271","ТЕРВЕЛ","ТЕРВЕЛ","9450","ДОБРИЧ","гр."
"NO","72343","ТЕТЕВЕН","ТЕТЕВЕН","5700","ЛОВЕЧ","гр."
"NO","72761","ТОПОЛОВГРАД","ТОПОЛОВГРАД","6560","ХАСКОВО","гр."
"NO","73198","ТРОЯН","ТРОЯН","5600","ЛОВЕЧ","гр."
"NO","73273","ТРЪН","ТРЪН","2460","ПЕРНИК","гр."
"NO","73359","ДОЛНА МИТРОПОЛИЯ","ТРЪСТЕНИК","5857","ПЛЕВЕН","гр."
"NO","73403","ТРЯВНА","ТРЯВНА","5350","ГАБРОВО","гр."
"NO","73496","ТУТРАКАН","ТУТРАКАН","7600","СИЛИСТРА","гр."
"PARTIAL","73626","ТЪРГОВИЩЕ","ТЪРГОВИЩЕ","7700","ТЪРГОВИЩЕ","гр."
"NO","75054","УГЪРЧИН","УГЪРЧИН","5580","ЛОВЕЧ","гр."
"NO","77058","ХАДЖИДИМОВО","ХАДЖИДИМОВО","2933","БЛАГОЕВГРАД","гр."
"NO","77181","ХАРМАНЛИ","ХАРМАНЛИ","6450","ХАСКОВО","гр."
"FULL","77195","ХАСКОВО","ХАСКОВО","6300","ХАСКОВО","гр."
"NO","77270","ХИСАРЯ","ХИСАРЯ","4180","ПЛОВДИВ","гр."
"NO","77308","ЦАР КАЛОЯН","ЦАР КАЛОЯН","7280","РАЗГРАД","гр."
"NO","48619","ЦАРЕВО","ЦАРЕВО","8260","БУРГАС","гр."
"NO","80371","ЧЕПЕЛАРЕ","ЧЕПЕЛАРЕ","4850","СМОЛЯН","гр."
"NO","80501","ЧЕРВЕН БРЯГ","ЧЕРВЕН БРЯГ","5980","ПЛЕВЕН","гр."
"NO","81390","ЧИПРОВЦИ","ЧИПРОВЦИ","3460","МОНТАНА","гр."
"NO","81414","ЧИРПАН","ЧИРПАН","6200","СТАРА ЗАГОРА","гр."
"NO","83017","ШАБЛА","ШАБЛА","9680","ДОБРИЧ","гр."
"NO","15944","ТВЪРДИЦА","ШИВАЧЕВО","8895","СЛИВЕН","гр."
"NO","83199","КАЗАНЛЪК","ШИПКА","6150","СТАРА ЗАГОРА","гр."
"FULL","83510","ШУМЕН","ШУМЕН","9700","ШУМЕН","гр."
"NO","87014","ЯБЛАНИЦА","ЯБЛАНИЦА","5750","ЛОВЕЧ","гр."
"NO","87338","ЯКОРУДА","ЯКОРУДА","2790","БЛАГОЕВГРАД","гр."
"FULL","87374","ЯМБОЛ","ЯМБОЛ","8600","ЯМБОЛ","гр."
"NO","881","ВЕЛИНГРАД","АБЛАНИЦА","4645","ПАЗАРДЖИК","с."
"NO","28","ЛОВЕЧ","АБЛАНИЦА","5574","ЛОВЕЧ","с."
"NO","14","ХАДЖИДИМОВО","АБЛАНИЦА","2932","БЛАГОЕВГРАД","с."
"NO","31","КРУШАРИ","АБРИТ","9407","ДОБРИЧ","с."
"NO","62","АРДИНО","АВРАМОВО","6797","КЪРДЖАЛИ","с."
"NO","59","ЯКОРУДА","АВРАМОВО","2795","БЛАГОЕВГРАД","с."
"NO","84","АВРЕН","АВРЕН","9135","ВАРНА","с."
"NO","93","КРУМОВГРАД","АВРЕН","6930","КЪРДЖАЛИ","с."
"NO","103","СЕВЛИЕВО","АГАТОВО","5431","ГАБРОВО","с."
"NO","117","ТРЯВНА","АЗМАНИТЕ","5350","ГАБРОВО","с."
"NO","895","СИЛИСТРА","АЙДЕМИР","7538","СИЛИСТРА","с."
"NO","148","КЪРДЖАЛИ","АЙРОВО","6639","КЪРДЖАЛИ","с."
"NO","165","БЕЛОВО","АКАНДЖИЕВО","4483","ПАЗАРДЖИК","с."
"NO","179","ВИДИН","АКАЦИЕВО","3727","ВИДИН","с."
"NO","196","ЗЛАТОГРАД","АЛАМОВЦИ","4984","СМОЛЯН","с."
"NO","206","ДЖЕБЕЛ","АЛБАНЦИ","6850","КЪРДЖАЛИ","с."
"NO","92055","БАЛЧИК","АЛБЕНА","9620","ДОБРИЧ","к.к."
"NO","215","ТЪРГОВИЩЕ","АЛВАНОВО","7752","ТЪРГОВИЩЕ","с."
"NO","223","СЛИВНИЦА","АЛДОМИРОВЦИ","2222","СОФИЯ","с."
"NO","92085","СТОЛИЧНА","АЛЕКО","0","СОФИЯ - ГРАД","т.ц."
"NO","254","ПАЗАРДЖИК","АЛЕКО КОНСТАНТИНОВО","4411","ПАЗАРДЖИК","с."
"NO","240","АЛФАТАР","АЛЕКОВО","7555","СИЛИСТРА","с."
"NO","237","СВИЩОВ","АЛЕКОВО","5288","ВЕЛИКО ТЪРНОВО","с."
"NO","268","КРУШАРИ","АЛЕКСАНДРИЯ","9404","ДОБРИЧ","с."
"NO","299","ЛОВЕЧ","АЛЕКСАНДРОВО","5560","ЛОВЕЧ","с."
"NO","309","ПАВЕЛ БАНЯ","АЛЕКСАНДРОВО","6154","СТАРА ЗАГОРА","с."
"NO","271","ПОМОРИЕ","АЛЕКСАНДРОВО","8211","БУРГАС","с."
"NO","285","СВИЩОВ","АЛЕКСАНДРОВО","5289","ВЕЛИКО ТЪРНОВО","с."
"NO","330","СМЯДОВО","АЛЕКСАНДРОВО","9829","ШУМЕН","с."
"NO","343","СТРАЛДЖА","АЛЕКСАНДРОВО","8653","ЯМБОЛ","с."
"NO","312","ТЪРГОВИЩЕ","АЛЕКСАНДРОВО","7761","ТЪРГОВИЩЕ","с."
"NO","326","ХАСКОВО","АЛЕКСАНДРОВО","6351","ХАСКОВО","с."
"NO","360","ГЕНЕРАЛ ТОШЕВО","АЛЕКСАНДЪР СТАМБОЛИЙСКИ","9565","ДОБРИЧ","с."
"NO","83421","ВЕЛИНГРАД","АЛЕНДАРОВА","4621","ПАЗАРДЖИК","с."
"NO","388","СМОЛЯН","АЛИГОВСКА","4787","СМОЛЯН","с."
"NO","391","САМОКОВ","АЛИНО","2019","СОФИЯ","с."
"NO","401","БЯЛА СЛАТИНА","АЛТИМИР","3251","ВРАЦА","с."
"NO","429","ДОБРИЧ - СЕЛСКА","АЛЦЕК","9434","ДОБРИЧ","с."
"NO","446","МИНЕРАЛНИ БАНИ","АНГЕЛ ВОЙВОДА","6373","ХАСКОВО","с."
"NO","432","ТЕРВЕЛ","АНГЕЛАРИЙ","9483","ДОБРИЧ","с."
"NO","456","ГАБРОВО","АНГЕЛОВ","5342","ГАБРОВО","с."
"NO","480","СОПОТ","АНЕВО","4331","ПЛОВДИВ","с."
"NO","919","ВИДИН","АНТИМОВО","3776","ВИДИН","с."
